ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"103.130.113.245","elite","AS138336","BD","Potato Internet","275","Sajid Trading Ltd.","5678","socks5","1","93","11269","12123","2026-05-10T07:43:19.648Z","1025"
"115.127.107.217","elite","AS24342","BD","BRACNet Limited","159","BRACNet Limited","1085","socks5","1","70","3790","5412","2026-05-10T07:42:39.230Z","4808"
"202.4.107.69","elite","AS23956","BD","dhakaCom Limited","195","DhakaCom Limited","5678","socks4","1","95","11544","12150","2026-05-10T07:42:39.422Z","4401"
"123.49.2.110","elite","AS17494","BD","Bangladesh Telegraph & Telephone Board","199","N/A","58551","socks4","1","85","2577","3016","2026-05-10T07:42:39.418Z","1783"
"45.251.231.113","elite","AS59362","BD","KS Network","230","Nazmul Karim Bhuiyan","5678","socks4","1","95","11547","12162","2026-05-10T07:42:00.028Z","4928"
"43.224.118.206","elite","AS9441","BD","Next Online","177","Next Online Limited","8989","socks5","1","98","213","218","2026-05-10T07:41:53.734Z","3281"
"103.15.245.18","elite","AS58717","BD","Summit Communications Limited","268","SUMMITCOMMUNICATIONS","4153","socks4","1","98","11933","12228","2026-05-10T07:40:50.119Z","4691"
"180.211.179.82","elite","AS45588","BD","Bangladesh Telegraph & Telephone Board","197","N/A","5678","socks4","1","96","5009","5219","2026-05-10T07:39:45.614Z","4976"
"203.190.8.59","elite","AS58768","BD","DAFFODILNET-SUB","291","N/A","1088","socks4","1","97","5308","5463","2026-05-10T07:39:36.236Z","1089"
"103.30.29.49","elite","AS45326","BD","Broad Band Telecom Services Ltd","267","N/A","1080","socks5","1","97","104","107","2026-05-10T07:39:13.814Z","4579"
"103.35.109.186","elite","AS23991","BD","Ranks ITT","188","Ranks ITT Ltd.","5678","socks4","1","91","174","191","2026-05-10T07:38:45.011Z","3117"
"59.153.18.93","elite","AS64043","BD","EUROtelbd Online Ltd.","327","S.M. ZAKIR HOSSAIN t/a EUROtelbd Online Ltd.","20909","socks5","1","100","210","210","2026-05-10T07:38:44.917Z","2987"
"103.220.205.162","elite","AS59362","BD","KS Network","205","Nazmul Karim Bhuiyan","4673","socks5","1","97","3867","3969","2026-05-10T07:37:23.117Z","1876"
"45.125.222.125","elite","AS63526","BD","Carnival Internet","212","N/A","47239","socks4","1","98","11984","12195","2026-05-10T07:37:22.627Z","4691"
"119.148.47.233","elite","AS23923","BD","Agni Systems Limited","261","Agni Systems Ltd.","2212","socks5","1","97","173","178","2026-05-10T07:37:22.639Z","5007"
"115.127.2.229","elite","AS24342","BD","bracNet","313","BRAC BDMail Network Ltd","5678","socks5","1","97","5292","5440","2026-05-10T07:37:22.634Z","3000"
"103.234.27.113","elite","AS38200","BD","BTS Communications (BD) Ltd","172","Btscombd","9990","socks4","1","98","4404","4484","2026-05-10T07:37:22.718Z","3394"
